dataset,model,fold,split_seed,operator,p,ddr,n_edges_orig,n_edges_pert,num_c,auc,acc,nll,status
xes3g5m,gkt,0,1234,none,0.0,0.0,1408,1408,850,0.8360597674115987,0.842701331783433,0.3604088755781315,pykt_checkpoint
xes3g5m,gkt,0,1234,edge_drop,0.1,0.098722,1408,1269,850,0.8326007304135594,0.8415083163465362,0.36398867857705836,pykt_checkpoint
xes3g5m,gkt,0,1234,edge_drop,0.2,0.196733,1408,1131,850,0.8304357783403546,0.8406392782951837,0.36539032460355,pykt_checkpoint
xes3g5m,gkt,0,1234,edge_drop,0.3,0.296875,1408,990,850,0.8269257091307289,0.839895381723226,0.3679350809220133,pykt_checkpoint
xes3g5m,gkt,1,1235,none,0.0,0.0,1403,1403,858,0.8322210295460903,0.8409743793677853,0.36542693498278117,pykt_checkpoint
xes3g5m,gkt,1,1235,edge_drop,0.1,0.099073,1403,1264,858,0.8295481981057763,0.8377429482776361,0.3702524636732573,pykt_checkpoint
xes3g5m,gkt,1,1235,edge_drop,0.2,0.196721,1403,1127,858,0.8256117014495721,0.8352178713156263,0.3750496392733738,pykt_checkpoint
xes3g5m,gkt,1,1235,edge_drop,0.3,0.29722,1403,986,858,0.8226312565532192,0.8355112585617629,0.37657677963639125,pykt_checkpoint
xes3g5m,gkt,2,1236,none,0.0,0.0,1405,1405,854,0.8350737985108649,0.843667702096537,0.3609973136360308,pykt_checkpoint
xes3g5m,gkt,2,1236,edge_drop,0.1,0.098932,1405,1266,854,0.8322936939144485,0.842227184622615,0.3644021788954929,pykt_checkpoint
xes3g5m,gkt,2,1236,edge_drop,0.2,0.197153,1405,1128,854,0.8291188492133134,0.8391584374556791,0.3695463627886462,pykt_checkpoint
xes3g5m,gkt,2,1236,edge_drop,0.3,0.297509,1405,987,854,0.8243474687917529,0.8378931180529098,0.37311257694810607,pykt_checkpoint
xes3g5m,gkt,0,1234,edge_drop,0.9,0.901989,1408,138,850,0.7648651763003635,0.822566067748816,0.413219704538246,pykt_checkpoint
xes3g5m,gkt,1,1235,edge_drop,0.9,0.901639,1403,138,858,0.7645390170663701,0.8188257279757949,0.41754713790666376,pykt_checkpoint
xes3g5m,gkt,2,1236,edge_drop,0.9,0.901779,1405,138,854,0.7636780559949568,0.821633068496884,0.41424322428862087,pykt_checkpoint
