split_base_seed,model,mean_auc,source_tag,delta_vs_simplekt,ci_lower,ci_upper,valid
17,simplekt,0.8770286215056712,trio_matched_s17,,,,
17,gikt,0.8797615063537346,trio_matched_s17,0.002732884848063407,0.001141094031905365,0.004324675664221449,
17,gkt,0.8435258272062142,gkt_epochs30_s17,-0.033502794299457093,-0.03589797027060522,-0.03110761832830897,True
42,simplekt,0.877097419430363,trio_matched_s42,,,,
42,gikt,0.879331828148645,trio_matched_s42,0.002234408718281807,0.00030375698791397857,0.004165060448649636,
42,gkt,0.8370950010986645,gkt_epochs30_s42,-0.0400024183316986,-0.05055186308062455,-0.02945297358277264,True
1234,simplekt,0.8771011468729792,trio_matched_s1234,,,,
1234,gikt,0.8788432042118933,trio_matched_s1234,0.0017420573389141196,0.0009577147465338635,0.0025263999312943757,
1234,gkt,0.7945927385735237,gkt_epochs30_s1234,-0.0825084082994555,-0.2656723496812712,0.10065553308236017,False
