dataset,fold,split_seed,model,eval_split,auc,acc,nll,n_eval,status,note,graph_construction
synthetic_c5,2,44,skt,valid+test,0.6260362069378392,0.6081333333333333,0.6645776445982395,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c5,2,44,dygkt,valid+test,0.617196076115839,0.6081333333333333,0.66689187451312,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
synthetic_c5,2,44,dgekt,valid+test,0.6308703037924012,0.6081333333333333,0.6573050372914205,60000,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,bkt,valid+test,0.71838976194589,0.8307321453635756,0.4137038456858765,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,dkt,valid+test,0.71838976194589,0.8293245363911703,0.4222271536836448,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,simplekt,valid+test,0.71838976194589,0.8307321453635756,0.4137038456858765,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,akt,valid+test,0.716642538031283,0.8298906301657673,0.4244296696187377,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,gkt,valid+test,0.7040338107262537,0.8294557202224981,0.4247472362467472,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,gikt,valid+test,0.7125714891940103,0.8301248223848471,0.419502946801738,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,skt,valid+test,0.7043687778801299,0.8295898766923684,0.4237389953784237,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,dygkt,valid+test,0.7065952140815409,0.8293068298050699,0.4276143578515172,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,dgekt,valid+test,0.7104534419540379,0.8301374884099408,0.4205562990938599,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,0,42,gkt,valid+test,0.7042947834121551,0.8294598560674267,0.4247928958876231,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,gikt,valid+test,0.7124601085383324,0.8301248223848471,0.4195276373666001,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,skt,valid+test,0.7044604985660397,0.8297178293948457,0.4237790245450546,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,dygkt,valid+test,0.7062875804241506,0.8293068298050699,0.4276706836730847,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,0,42,dgekt,valid+test,0.7101037497133731,0.8301374884099408,0.4205846865770641,7737234,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,bkt,valid+test,0.7193974971387429,0.830336668454747,0.4141281272909692,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,dkt,valid+test,0.7193974971387429,0.8287791844435735,0.4228103477818029,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,simplekt,valid+test,0.7193974971387429,0.830336668454747,0.4141281272909692,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
