Model,Clean AUC,Leak 5% AUC,Leak 20% AUC,clean_status,leak5_status,leak20_status
simplekt,0.8744411161851224,,,verified_train_only_proxy,pending_gpu_rerun,pending_gpu_rerun
gkt,0.8345570064591779,,,verified_train_only_proxy,pending_gpu_rerun,pending_gpu_rerun
gikt,0.8775823299875001,,,verified_train_only_proxy,pending_gpu_rerun,pending_gpu_rerun
