fold,split_seed,auc_primary,auc_extended,delta,mean_delta,ci_lo,ci_hi
0,42,0.8345570064591779,0.8401807672969944,0.0056237608378165715,0.0034506541479535726,-0.003709939756874055,0.0106112480527812
1,43,0.8337523448899595,0.8382998300180499,0.004547485128090334,0.0034506541479535726,-0.003709939756874055,0.0106112480527812
2,44,0.8326236895029956,0.8328044059809494,0.00018071647795381285,0.0034506541479535726,-0.003709939756874055,0.0106112480527812
