dataset,model,operator,p,ddr_mean,auc_mean,auc_drop_mean,auc_drop_std,n
assist2012,dgekt,edge_drop,0.1,0.08564366666666667,0.9599992239708429,2.9160302139804212e-05,0.00011307332013300572,3
assist2012,dgekt,edge_drop,0.2,0.2205973333333333,0.9600586259282426,-3.024165525992532e-05,7.063854087257597e-05,3
assist2012,dgekt,edge_drop,0.3,0.303646,0.9600421771584392,-1.3792885456664905e-05,2.9886279905514475e-05,3
assist2012,dgekt,node_drop,0.1,0.17074799999999998,0.9600783934672936,-5.000919431089971e-05,6.664881876732975e-05,3
assist2012,dgekt,node_drop,0.2,0.36893833333333337,0.9600716861149077,-4.3301841925025286e-05,5.627824187734672e-05,3
assist2012,dgekt,node_drop,0.3,0.49344366666666667,0.9600500889207253,-2.1704647742611567e-05,8.51306081231832e-05,3
assist2012,dgekt,prereq_preserve,0.1,0.07961233333333334,0.9600827171989926,-5.433292601001819e-05,6.0373611116514475e-05,3
assist2012,dgekt,prereq_preserve,0.2,0.20592999999999997,0.9600658424428833,-3.745816990075035e-05,6.729750587073301e-05,3
assist2012,dgekt,prereq_preserve,0.3,0.27773866666666663,0.9600269056011627,1.4786718199507238e-06,5.0165229132502026e-05,3
assist2012,gkt,edge_drop,0.1,0.11566433333333333,0.963050148175793,6.406873284932797e-05,5.6245802868485e-05,3
assist2012,gkt,edge_drop,0.2,0.21766533333333335,0.962947721091242,0.00016649581740032135,8.110181381666667e-05,3
assist2012,gkt,edge_drop,0.3,0.321281,0.9628005432892607,0.0003136736193817269,0.00011138033385119092,3
assist2012,gkt,edge_drop,0.9,0.9012038333333333,0.9608285426932156,0.0022856742154267473,0.0006804806005185102,6
assist2012,gkt,node_drop,0.1,0.19843466666666668,0.962743174199353,0.0003710427092892636,3.537396205714546e-05,3
assist2012,gkt,node_drop,0.2,0.38565133333333335,0.9623153826438259,0.0007988342648163801,0.00024412657785771486,3
assist2012,gkt,node_drop,0.3,0.5743663333333333,0.9618573499276163,0.0012568669810260797,9.688558523006022e-05,3
assist2012,gkt,node_drop,0.9,0.9879516666666667,0.960609482395305,0.0025047345133373624,0.0007027300578887057,6
assist2012,gkt,prereq_preserve,0.1,0.09960933333333333,0.9630050217510395,0.00010919515760284455,0.00010780960931016992,3
assist2012,gkt,prereq_preserve,0.2,0.18797733333333333,0.9629658173197929,0.00014839958884934243,7.104388369096943e-05,3
assist2012,gkt,prereq_preserve,0.3,0.281159,0.9628839437339453,0.0002302731746971487,4.706917343437467e-05,3
xes3g5m,dgekt,edge_drop,0.1,0.09320233333333333,0.8417057855752968,6.261551416423632e-05,0.00016520372814013168,3
xes3g5m,dgekt,edge_drop,0.2,0.214222,0.8416493181536495,0.00011908293581164298,0.00023394577892500598,3
xes3g5m,dgekt,edge_drop,0.3,0.3011176666666667,0.8417306186138162,3.778247564504659e-05,0.00039676511791911505,3
xes3g5m,dgekt,node_drop,0.1,0.17725233333333335,0.8416904444516641,7.795663779715707e-05,0.00029402936245453157,3
xes3g5m,dgekt,node_drop,0.2,0.42409566666666665,0.8414473882655417,0.00032101282391946057,0.00025866282895637517,3
xes3g5m,dgekt,node_drop,0.3,0.554617,0.8416723895797372,9.601150972393668e-05,0.0001838246415832521,3
xes3g5m,dgekt,prereq_preserve,0.1,0.07113599999999999,0.8416800739764133,8.8327113047811e-05,0.000174091306135459,3
xes3g5m,dgekt,prereq_preserve,0.2,0.16778400000000002,0.8416640010801976,0.00010440000926344635,0.00018944307019557198,3
xes3g5m,dgekt,prereq_preserve,0.3,0.23287566666666668,0.8415099812484942,0.0002584198409670095,0.0002036898986801799,3
xes3g5m,gkt,edge_drop,0.1,0.09375033333333334,0.8308503930318877,0.003527760897955775,0.00013194140124892336,3
xes3g5m,gkt,edge_drop,0.2,0.21473566666666666,0.8255276801639998,0.008850473765843617,0.0009208852917164239,3
xes3g5m,gkt,edge_drop,0.3,0.301605,0.8205752851157487,0.013802868814094649,0.0005013134415410138,3
xes3g5m,gkt,edge_drop,0.9,0.9002290000000001,0.7629276380924243,0.07145051583741906,0.003224346952904204,3
xes3g5m,gkt,node_drop,0.1,0.1694203333333333,0.8251258447967816,0.009252309133061817,0.0008668722869544121,3
xes3g5m,gkt,node_drop,0.2,0.4114073333333333,0.8054940119520834,0.028884141977760014,0.0037380566628413504,3
xes3g5m,gkt,node_drop,0.3,0.5495899999999999,0.7929717514199904,0.041406402509852946,0.002692855736479257,3
xes3g5m,gkt,node_drop,0.9,0.9919746666666667,0.7468500914673281,0.08752806246251543,0.0016014335426060738,3
xes3g5m,gkt,prereq_preserve,0.1,0.06995566666666667,0.8319153078603941,0.0024628460694492427,0.0004151498452772154,3
xes3g5m,gkt,prereq_preserve,0.2,0.16857999999999998,0.8270255951951938,0.0073525587346495724,0.0005871567029535809,3
xes3g5m,gkt,prereq_preserve,0.3,0.23566600000000001,0.8241273201171678,0.01025083381267559,0.0007717678292269013,3
