model,status,note,dataset,eval_split,auc,acc,nll,n_eval,n_folds,auc_ci_low,auc_ci_high,acc_ci_low,acc_ci_high,nll_ci_low,nll_ci_high,graph_construction
skt,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,junyi,valid+test,0.9855443024525616,0.9537498674148996,0.1068277654948663,7737234.0,1.0,0.9855443024525616,0.9855443024525616,0.9537498674148996,0.9537498674148996,0.1068277654948663,0.1068277654948663,train_only
akt,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.8730164408719672,0.8080527210884353,0.4065145538176082,180000.0,3.0,0.8701622110467279,0.8761820440602289,0.8019897959183674,0.8123469387755101,0.400966278061054,0.4169861198256985,train_only
bkt,classical_bkt_em,Independent-skill BKT (scipy L-BFGS-B); protocol graphs do not affect this baseline.,synthetic_c2,valid+test,0.8353356522534942,0.7816555555555555,0.4603193171389895,180000.0,3.0,0.8325516229835516,0.8382535062560343,0.7804833333333333,0.78355,0.4576015101883033,0.4617502234259205,train_only
dgekt,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.7106891942160171,0.7245856009070296,0.5494761654444341,180000.0,3.0,0.6343910414198122,0.8622991315147259,0.6855166666666667,0.7961734693877552,0.4273253725743922,0.6131096417596809,full_log
dgekt,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.7095443206634355,0.7238373015873015,0.5509990428696759,180000.0,3.0,0.634149835650416,0.8591057166263774,0.6855166666666667,0.7939285714285714,0.431515688677512,0.6132021027145713,train_only
dkt,pykt_checkpoint,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.8623034809592652,0.7983673469387754,0.420977757418159,180000.0,3.0,0.8573495508906998,0.8684960845703733,0.7882142857142856,0.8047193877551019,0.4126212875654875,0.4337682805039445,train_only
dygkt,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.7101699416789162,0.7257845804988663,0.5498192270612213,180000.0,3.0,0.6318815737035944,0.8665339600467958,0.6855166666666667,0.7997704081632652,0.4216452937994456,0.6165497366738988,full_log
dygkt,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.7100272702780125,0.7260311791383219,0.549668894528327,180000.0,3.0,0.6312429968910265,0.8672466098482277,0.6855166666666667,0.8005102040816326,0.4209149741642125,0.6171473477106126,train_only
gkt,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.8725205802092192,0.8068707482993197,0.4076537572183896,180000.0,3.0,0.8683935679647501,0.8772240874212888,0.7992857142857143,0.8111224489795918,0.4005650358561133,0.4204850698521427,full_log
gkt,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.8730524623824323,0.8076190476190477,0.4074786377247012,180000.0,3.0,0.8684620065650234,0.8783162324135448,0.7990561224489796,0.8140816326530612,0.3999025692064359,0.4198436595637716,train_only
simplekt,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.8748221129681498,0.8092431972789115,0.4054534468774349,180000.0,3.0,0.8708353487573518,0.8795449413456858,0.8029591836734694,0.8137500000000001,0.3994896487200203,0.4162311857595289,train_only
skt,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.7077861504228355,0.7225958049886622,0.5533365953320942,180000.0,3.0,0.6343910414198122,0.8535900001351812,0.6855166666666667,0.7902040816326531,0.4389066622373725,0.6131096417596809,full_log
skt,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c2,valid+test,0.7075448446981426,0.7219920634920635,0.5539051736037788,180000.0,3.0,0.634149835650416,0.853107288730499,0.6855166666666667,0.7883928571428571,0.4402340808798201,0.6132021027145713,train_only
