dataset,fold,n_edges,frac_share_gt_50,share_median,share_p90
assist2012,0,413,0.0,0.2993931220498989,0.344597241407748
assist2012,1,416,0.0,0.2978665518865626,0.3335885655946912
assist2012,2,416,0.0,0.2967166482770057,0.32268799312973
junyi,0,2152,0.0060408921933085,0.2959249590997588,0.35
junyi,1,2130,0.0061032863849765,0.3053122316280211,0.3681853888452475
junyi,2,2156,0.0037105751391465,0.297273756542924,0.3477327859675312
xes3g5m,0,1516,0.0798153034300791,0.3026657213412046,0.3376686604534706
xes3g5m,1,1517,0.079762689518787,0.3001172332942555,0.3391871566577698
xes3g5m,2,1526,0.0773263433813892,0.3009094843048546,0.3387666910342657
