dataset,model,scope,n,n_clusters,pearson_r,spearman_rho,intercept,slope,slope_ci_lo,slope_ci_hi
xes3g5m,gkt,core,54,6,0.9502928751422692,0.9262816847722508,-0.006746618716985824,0.08427370338885501,0.07942384867309017,0.08999461003966139
xes3g5m,gkt,core+anchors,66,6,0.9885619925256723,0.9589186932470516,-0.008479146127324068,0.09191762186728085,0.09024454954854372,0.0936392593191009
assist2012,gkt,core,27,3,0.9322882248709707,0.9208920472048399,-0.0003136232166858448,0.002774464227583324,0.0019037929930314486,0.003143122020818552
assist2012,gkt,core+anchors,33,3,0.9722728879438515,0.9547773131853038,-0.0002170115759031055,0.0023429619587322825,0.002317247450075987,0.002354499979424584
xes3g5m,dgekt,core,27,3,0.1310551838533811,0.17704517704517705,8.139331550043428e-05,0.00019365402871927698,8.883447001482613e-05,0.00036553137222683783
assist2012,dgekt,core,27,3,0.1456831772268139,0.1755457202562038,-4.137800108364085e-05,6.898418214888756e-05,-0.0001323820485057571,0.0001704061084902769
