config,epochs,batch,gkt_auc_mean,delta_vs_simplekt,ci_lower,ci_upper
primary_release,10,16,0.833644346950711,-0.04107563622467877,-0.044231968443206676,-0.03791930400615086
epoch_matched,30,64,0.8370950010986645,-0.03762498207672519,-0.04788079383508588,-0.027369170318364503
