dataset,fold,split_seed,cell_tag,q,k,K,tau,n_pre_to,n_pre_fl,n_pre_fl_minus_to,primary_bind_to,delta,model,slope,slope_ci_hi,bound,bound_conservative,observed_delta_auc,auc_train_only,auc_full_log,abs_observed,bound_holds,slack_ratio,label,delta_w,bound_w,slack_w,bound_w_holds
xes3g5m,1,43,q0.5_k5_K5000_tau0.1,0.5,5,5000,0.1,3210,3292,144,k,0.044859813084112146,gkt,0.084273703388855,0.0899946100396613,0.0037805025819299433,0.004037141384956769,,,,,,,q0.5_k5_K5000_tau0.1,,,,
xes3g5m,1,43,q0.5_k5_Kinf_tau0.1,0.5,5,1000000000,0.1,3210,3292,144,k,0.044859813084112146,gkt,0.084273703388855,0.0899946100396613,0.0037805025819299433,0.004037141384956769,,,,,,,Review open $q$,,,,
xes3g5m,1,43,q0.5_k20_Kinf_tau0.1,0.5,20,1000000000,0.1,8654,9175,691,k,0.07984746937832217,gkt,0.084273703388855,0.0899946100396613,0.006729041950739405,0.007185841869355901,,,,,,,$k{=}20$ lift,,,,
xes3g5m,1,43,q0.5_kinf_Kinf_tau0.1,0.5,1000000000,1000000000,0.1,17124,19487,2363,q,0.13799345947208597,gkt,0.084273703388855,0.0899946100396613,0.011629219873152555,0.012418667573214182,,,,,,,$k{=}\infty$ lift,,,,
xes3g5m,1,43,q0.8_k5_K1000_tau0.1,0.8,5,1000,0.1,1000,1000,6,K,0.006,gkt,0.084273703388855,0.0899946100396613,0.0005056422203331299,0.0005399676602379678,,,,,,,q0.8_k5_K1000_tau0.1,,,,
xes3g5m,1,43,q0.8_k5_K5000_tau0.1,0.8,5,5000,0.1,2442,2559,134,k,0.054873054873054876,gkt,0.084273703388855,0.0899946100396613,0.004624355550412191,0.00493827917498551,,,,,,,Mid $q$,,,,
xes3g5m,1,43,q0.8_k5_Kinf_tau0.1,0.8,5,1000000000,0.1,2442,2559,134,k,0.054873054873054876,gkt,0.084273703388855,0.0899946100396613,0.004624355550412191,0.00493827917498551,,,,,,,q0.8_k5_Kinf_tau0.1,,,,
xes3g5m,1,43,q0.9_k5_K1000_tau0.1,0.9,5,1000,0.1,1000,1000,6,K,0.006,gkt,0.084273703388855,0.0899946100396613,0.0005056422203331299,0.0005399676602379678,,,,,,,q0.9_k5_K1000_tau0.1,,,,
xes3g5m,1,43,q0.9_k5_K5000_tau0.1,0.9,5,5000,0.1,1776,1885,118,k,0.06644144144144144,gkt,0.084273703388855,0.0899946100396613,0.005599266328764015,0.005979371612995514,,,,,,,q0.9_k5_K5000_tau0.1,,,,
xes3g5m,1,43,q0.9_k5_Kinf_tau0.1,0.9,5,1000000000,0.1,1776,1885,118,k,0.06644144144144144,gkt,0.084273703388855,0.0899946100396613,0.005599266328764015,0.005979371612995514,,,,,,,q0.9_k5_Kinf_tau0.1,,,,
xes3g5m,1,43,q0.95_k5_K1000_tau0.1,0.95,5,1000,0.1,1000,1000,6,K,0.006,gkt,0.084273703388855,0.0899946100396613,0.0005056422203331299,0.0005399676602379678,,,,,,,$K$ binds,,,,
xes3g5m,1,43,q0.95_k5_K5000_tau0.05,0.95,5,5000,0.05,1157,1260,106,k,0.09161624891961971,gkt,0.084273703388855,0.0899946100396613,0.007720840587051538,0.008244968594817718,,,,,,,q0.95_k5_K5000_tau0.05,,,,
xes3g5m,1,43,q0.95_k5_K5000_tau0.1,0.95,5,5000,0.1,1157,1260,106,k,0.09161624891961971,gkt,0.084273703388855,0.0899946100396613,0.007720840587051538,0.008244968594817718,,,,,,,Published default,,,,
xes3g5m,1,43,q0.95_k5_K5000_tau0.2,0.95,5,5000,0.2,1157,1260,106,k,0.09161624891961971,gkt,0.084273703388855,0.0899946100396613,0.007720840587051538,0.008244968594817718,,,,,,,q0.95_k5_K5000_tau0.2,,,,
xes3g5m,1,43,q0.95_k5_Kinf_tau0.1,0.95,5,1000000000,0.1,1157,1260,106,k,0.09161624891961971,gkt,0.084273703388855,0.0899946100396613,0.007720840587051538,0.008244968594817718,,,,,,,q0.95_k5_Kinf_tau0.1,,,,
xes3g5m,2,44,q0.5_k5_K1000_tau0.1,0.5,5,1000,0.1,1000,1000,8,K,0.008,gkt,0.084273703388855,0.0899946100396613,0.00067418962711084,0.0007199568803172904,,,,,,,q0.5_k5_K1000_tau0.1,,,,
xes3g5m,2,44,q0.5_k5_K5000_tau0.1,0.5,5,5000,0.1,3204,3292,161,k,0.050249687890137326,gkt,0.084273703388855,0.0899946100396613,0.004234727292635972,0.0045222010662875995,,,,,,,q0.5_k5_K5000_tau0.1,,,,
xes3g5m,2,44,q0.5_k5_Kinf_tau0.1,0.5,5,1000000000,0.1,3204,3292,161,k,0.050249687890137326,gkt,0.084273703388855,0.0899946100396613,0.004234727292635972,0.0045222010662875995,,,,,,,Review open $q$,,,,
xes3g5m,2,44,q0.5_k20_Kinf_tau0.1,0.5,20,1000000000,0.1,8667,9175,664,k,0.0766124379831545,gkt,0.084273703388855,0.0899946100396613,0.00645641387448941,0.006894706480481724,,,,,,,$k{=}20$ lift,,,,
xes3g5m,2,44,q0.5_kinf_Kinf_tau0.1,0.5,1000000000,1000000000,0.1,17150,19487,2337,q,0.136268221574344,gkt,0.084273703388855,0.0899946100396613,0.011483827686283038,0.01226340546138125,,,,,,,$k{=}\infty$ lift,,,,
