dataset,model,fold,split_seed,operator,p,ddr,n_edges_orig,n_edges_pert,num_c,auc,acc,nll,status,reach_disruption,ddr_check,baseline_auc,auc_drop
assist2012,gkt,0,42,none,0.0,0.0,413,413,265,0.9623886977887952,0.9081127524818132,0.1840599598338562,pykt_checkpoint,0.0,0.0,0.9623886977887952,0.0
assist2012,gkt,0,42,prereq_preserve,0.1,0.104116,413,370,265,0.9623431034797428,0.9081163176649476,0.1841393876161658,pykt_checkpoint,0.2678965309805494,0.1041162227602905,0.9623886977887952,4.5594309052376936e-05
assist2012,gkt,0,42,prereq_preserve,0.2,0.198547,413,331,265,0.9622065231216508,0.9076920608719368,0.1844171420415122,pykt_checkpoint,0.4134677246407893,0.198547215496368,0.9623886977887952,0.0001821746671444
assist2012,gkt,0,42,prereq_preserve,0.3,0.2954,413,291,265,0.9621670251867755,0.9075931270399532,0.1844845422362791,pykt_checkpoint,0.6775498410863913,0.2953995157384987,0.9623886977887952,0.0002216726020196
assist2012,gkt,0,1234,edge_drop,0.9,0.891041,413,45,264,0.9610365264223324,0.9061286826288304,0.186448731117602,pykt_checkpoint,0.9773988897700238,0.8910411622276029,,
assist2012,gkt,0,1234,node_drop,0.9,0.975787,413,10,264,0.9608734243006628,0.9059110167593762,0.1866622393988171,pykt_checkpoint,0.9951961569255404,0.9757869249394672,,
assist2012,gkt,1,43,edge_drop,0.1,0.115385,416,368,265,0.9630830654526534,0.9089398026587548,0.1822607779943665,pykt_checkpoint,0.2944084028421377,0.1153846153846153,0.9631281847126388,4.511925998540445e-05
assist2012,gkt,1,43,edge_drop,0.2,0.21875,416,325,265,0.9630448452097692,0.908952374452678,0.1823652578568181,pykt_checkpoint,0.4587934441473904,0.21875,0.9631281847126388,8.333950286965042e-05
assist2012,gkt,1,43,edge_drop,0.3,0.322115,416,282,265,0.9628747517055068,0.9086802849127698,0.1825477590856008,pykt_checkpoint,0.4803001876172608,0.3221153846153846,0.9631281847126388,0.0002534330071319
assist2012,gkt,1,43,edge_drop,0.9,0.911058,416,37,265,0.9608206628684248,0.9061129449966056,0.186076983482404,pykt_checkpoint,0.9777430691136276,0.9110576923076924,0.9627910983310822,0.0019704354626574
assist2012,gkt,1,43,node_drop,0.1,0.192308,416,336,265,0.9627931232580288,0.9086039561639504,0.1827617442485962,pykt_checkpoint,0.4820698516528443,0.1923076923076923,0.9631281847126388,0.00033506145461
assist2012,gkt,1,43,node_drop,0.2,0.307692,416,288,265,0.962592192536265,0.9083731739469326,0.1830541780647393,pykt_checkpoint,0.5645756457564576,0.3076923076923077,0.9631281847126388,0.0005359921763737
assist2012,gkt,1,43,node_drop,0.3,0.550481,416,187,265,0.9619427849132116,0.9073557566244376,0.1842374716981589,pykt_checkpoint,0.7996301899478904,0.5504807692307693,0.9631281847126388,0.0011853997994272
assist2012,gkt,1,43,node_drop,0.9,1.0,416,0,265,0.9605522115919066,0.905663952356493,0.1865030483705097,pykt_checkpoint,1.0,1.0,0.9627910983310822,0.0022388867391756
assist2012,gkt,1,43,none,0.0,0.0,416,416,265,0.9631281847126388,0.9089613543054802,0.1821316181177886,pykt_checkpoint,0.0,0.0,0.9631281847126388,0.0
assist2012,gkt,1,43,prereq_preserve,0.1,0.09375,416,377,265,0.9630798665870668,0.9091535231554484,0.1821844923852511,pykt_checkpoint,0.2824008138351983,0.09375,0.9631281847126388,4.83181255720444e-05
assist2012,gkt,1,43,prereq_preserve,0.2,0.177885,416,342,265,0.9630614157434516,0.9087925330727978,0.1824898157927784,pykt_checkpoint,0.2986960477105023,0.1778846153846154,0.9631281847126388,6.67689691872253e-05
assist2012,gkt,1,43,prereq_preserve,0.3,0.269231,416,304,265,0.9629400873712776,0.9086111400461924,0.182451696099047,pykt_checkpoint,0.4043620501635769,0.2692307692307692,0.9631281847126388,0.0001880973413612
assist2012,gkt,1,1235,edge_drop,0.9,0.891827,416,45,265,0.960373248899389,0.9046691233947516,0.188177514722388,pykt_checkpoint,0.9769576254637766,0.8918269230769231,,
assist2012,gkt,1,1235,node_drop,0.9,0.973558,416,11,265,0.9600559508050428,0.9042983807928532,0.1887236561415288,pykt_checkpoint,0.9933070866141732,0.9735576923076924,,
assist2012,gkt,2,44,edge_drop,0.1,0.115385,416,368,264,0.9636984262566364,0.9101935451554676,0.1807135814460213,pykt_checkpoint,0.392171581769437,0.1153846153846153,0.963825768224493,0.0001273419678565
assist2012,gkt,2,44,edge_drop,0.2,0.21875,416,325,264,0.9635803944546588,0.9101837059988444,0.1809123195550309,pykt_checkpoint,0.5873948457738015,0.21875,0.963825768224493,0.0002453737698341
assist2012,gkt,2,44,edge_drop,0.3,0.322115,416,282,264,0.9633835675906498,0.9097928231402652,0.1813081877406251,pykt_checkpoint,0.629976580796253,0.3221153846153846,0.963825768224493,0.0004422006338431
assist2012,gkt,2,44,edge_drop,0.9,0.911058,416,37,264,0.9618592447572318,0.9080307196359154,0.1837109517606712,pykt_checkpoint,0.9767301905717152,0.9110576923076924,0.9636204948221988,0.0017612500649669
assist2012,gkt,2,44,node_drop,0.1,0.1875,416,338,264,0.963453477921502,0.9097436273571488,0.1811996727891908,pykt_checkpoint,0.3421296296296297,0.1875,0.963825768224493,0.0003722903029909
assist2012,gkt,2,44,node_drop,0.2,0.418269,416,242,264,0.9629837360044052,0.9090960319575808,0.1819602980058432,pykt_checkpoint,0.5875736475629352,0.4182692307692308,0.963825768224493,0.0008420322200877
assist2012,gkt,2,44,node_drop,0.3,0.569712,416,179,264,0.9626077072266608,0.9086282247835832,0.1825874872361046,pykt_checkpoint,0.7602717567130379,0.5697115384615384,0.963825768224493,0.0012180609978321
assist2012,gkt,2,44,node_drop,0.9,1.0,416,0,264,0.9616188054029908,0.90756112352435,0.1841211733987869,pykt_checkpoint,1.0,1.0,0.9636204948221988,0.0020016894192079
assist2012,gkt,2,44,none,0.0,0.0,416,416,264,0.963825768224493,0.9102758362835895,0.1805753146709258,pykt_checkpoint,0.0,0.0,0.963825768224493,0.0
assist2012,gkt,2,44,prereq_preserve,0.1,0.100962,416,374,264,0.9635920951863088,0.9101980174993872,0.1807326798896524,pykt_checkpoint,0.3758042400590655,0.1009615384615384,0.963825768224493,0.0002336730381841
assist2012,gkt,2,44,prereq_preserve,0.2,0.1875,416,338,264,0.9636295130942766,0.910109465089778,0.1808802691857697,pykt_checkpoint,0.5323909035033805,0.1875,0.963825768224493,0.0001962551302163
assist2012,gkt,2,44,prereq_preserve,0.3,0.278846,416,300,264,0.9635447186437824,0.9099958675542182,0.1810141342616072,pykt_checkpoint,0.5972595378828587,0.2788461538461538,0.963825768224493,0.0002810495807105
assist2012,gkt,2,1236,edge_drop,0.9,0.891827,416,45,264,0.9605146025868042,0.9051235891148212,0.1887339970710157,pykt_checkpoint,0.9755412991178828,0.8918269230769231,,
assist2012,gkt,2,1236,node_drop,0.9,0.978365,416,9,264,0.9603395027880076,0.9046737513872978,0.1892658488248344,pykt_checkpoint,0.9955393349553934,0.9783653846153846,,
xes3g5m,dgekt,0,42,edge_drop,0.1,0.093804,1162,1053,863,0.8415821012962879,0.8440542502217785,0.3577991297736989,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,edge_drop,0.2,0.214286,1162,913,863,0.84152987402628,0.8439833367167882,0.3580871799239162,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,edge_drop,0.3,0.301205,1162,812,863,0.8415600087303271,0.8440028031691384,0.3579936063012302,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,node_drop,0.1,0.165232,1162,970,863,0.8412978546671581,0.8440792785176575,0.3581916104693452,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,node_drop,0.2,0.420826,1162,673,863,0.8410262075187951,0.8435536843041995,0.358671194654665,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,node_drop,0.3,0.547332,1162,526,863,0.8416517276844614,0.8442336196755776,0.3579596907119423,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,none,0.0,0.0,1162,1162,863,0.8415549777483028,0.8439930699429633,0.3580637433050506,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,prereq_preserve,0.1,0.07401,1162,1076,863,0.8415403573059198,0.8441849535447019,0.3581874205424102,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,prereq_preserve,0.2,0.172117,1162,962,863,0.8412871473529169,0.843752520210349,0.3581373472641145,pykt_checkpoint,,,,
xes3g5m,dgekt,0,42,prereq_preserve,0.3,0.236661,1162,887,863,0.8410701634459021,0.8438568047765113,0.3583279037652067,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,edge_drop,0.1,0.092481,1157,1050,858,0.8416770274657116,0.8446285105661122,0.3562954984984654,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,edge_drop,0.2,0.213483,1157,910,858,0.8415448900872055,0.8447063763755134,0.3568775344248909,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,edge_drop,0.3,0.300778,1157,809,858,0.8414760766196043,0.8448926981337234,0.3563698066036836,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,node_drop,0.1,0.191011,1157,936,858,0.8421916767770143,0.8448329083157904,0.3561487833526899,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,node_drop,0.2,0.40968,1157,683,858,0.841527327041749,0.8445937490440582,0.3565506139238407,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,node_drop,0.3,0.554019,1157,516,858,0.8418148684855107,0.8448342987766725,0.3561238312948718,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,none,0.0,0.0,1157,1157,858,0.8419302947023691,0.8447425283584497,0.3564350684034328,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,prereq_preserve,0.1,0.07433,1157,1071,858,0.8416431473502815,0.8446910813058096,0.3566770703450094,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,prereq_preserve,0.2,0.171132,1157,959,858,0.841781687058554,0.8448301273940261,0.3564884035410649,pykt_checkpoint,,,,
xes3g5m,dgekt,1,43,prereq_preserve,0.3,0.234226,1157,886,858,0.8417298567346677,0.8445395210696538,0.3563601625739543,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,edge_drop,0.1,0.093322,1168,1059,858,0.8418582279638912,0.8439110327509156,0.3576814148247526,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,edge_drop,0.2,0.214897,1168,917,858,0.841873190347463,0.8446146059572907,0.3575517693832218,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,edge_drop,0.3,0.30137,1168,816,858,0.8421557704915168,0.8441627061705873,0.357256061490019,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,node_drop,0.1,0.175514,1168,963,858,0.8415818019108194,0.8444644361820169,0.3580056477327704,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,node_drop,0.2,0.441781,1168,652,858,0.8417886302360809,0.8445228355390678,0.3577291727897984,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,node_drop,0.3,0.5625,1168,511,858,0.8415505725692395,0.8445617684437684,0.358099753912564,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,none,0.0,0.0,1168,1168,858,0.8418199308177114,0.8442461338235171,0.3576688383436993,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,prereq_preserve,0.1,0.065068,1168,1092,858,0.8418567172730387,0.844244743362635,0.3578490724461558,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,prereq_preserve,0.2,0.160103,1168,981,858,0.8419231688291221,0.8447244523669816,0.3578155713561985,pykt_checkpoint,,,,
xes3g5m,dgekt,2,44,prereq_preserve,0.3,0.22774,1168,902,858,0.8417299235649125,0.8440945735873613,0.3576164167788938,pykt_checkpoint,,,,
xes3g5m,gkt,0,42,edge_drop,0.1,0.093804,1162,1053,863,0.8314264342645057,0.839709059965016,0.3674286977415088,pykt_checkpoint,0.3570050239295459,0.096590909090909,0.8348387868428289,0.0034123525783231
xes3g5m,gkt,0,42,edge_drop,0.2,0.214286,1162,913,863,0.8270349252093193,0.8387830130174948,0.3703567042857274,pykt_checkpoint,0.5989888212847352,0.2166193181818181,0.8348387868428289,0.0078038616335095
xes3g5m,gkt,0,42,edge_drop,0.3,0.301205,1162,812,863,0.8208999766383577,0.836131404115208,0.3758963242574726,pykt_checkpoint,0.6127811523608065,0.3018465909090909,0.8348387868428289,0.0139388102044711
xes3g5m,gkt,0,42,edge_drop,0.9,0.900172,1162,116,863,0.7599972314406209,0.8195835291565743,0.4194628563688803,pykt_checkpoint,0.9926546692931788,0.8998579545454546,0.8348387868428289,0.0748415554022079
xes3g5m,gkt,0,42,node_drop,0.1,0.180723,1162,952,863,0.8253699857813503,0.838581396189581,0.3710191480248797,pykt_checkpoint,0.4416872721586411,0.1946022727272727,0.8348387868428289,0.0094688010614785
xes3g5m,gkt,0,42,node_drop,0.2,0.416523,1162,678,863,0.8090107883826937,0.8324105307945372,0.384504417015854,pykt_checkpoint,0.7543353339292556,0.4644886363636363,0.8348387868428289,0.0258279984601351
xes3g5m,gkt,0,42,node_drop,0.3,0.546472,1162,527,863,0.7943957741378495,0.8280764642248319,0.3953285460455606,pykt_checkpoint,0.8069522866547139,0.5596590909090909,0.8348387868428289,0.0404430127049794
xes3g5m,gkt,0,42,node_drop,0.9,0.993976,1162,7,863,0.7458821119759675,0.8160517585158776,0.4279434800295444,pykt_checkpoint,0.9992293387391312,0.9879261363636364,0.8348387868428289,0.0889566748668613
