split_base_seed,fold,auc_gkt,auc_sk,delta
1234,0,0.8356621280052274,0.8778405798231212,-0.042178451817893814
1234,1,0.8340825026890053,0.8771211535330268,-0.043038650844021475
1234,2,0.8397190016694699,0.87672072262987,-0.03700172096040011
17,0,0.8422173236026003,0.8765840822205677,-0.03436675861796745
17,1,0.8435369316502014,0.8779947112044207,-0.03445777955421936
17,2,0.8448232263658406,0.8787938228663444,-0.033970596500503825
42,0,0.8401807672969944,0.8743920834792589,-0.03421131618226447
42,1,0.8382998300180499,0.8743398649950334,-0.03604003497698349
42,2,0.8328044059809494,0.8751387772636299,-0.04233437128268047
