experiment_tag,split_base_seed,baseline,challenger,n_folds,gkt_mean_auc,delta_mean,delta_std,delta_values,valid
gkt_epochs30_s17,17,simplekt,gkt,3,0.8435258272062142,-0.03426504489089688,0.00025902913670635324,-0.034367;-0.034458;-0.033971,True
gkt_epochs30_s42,42,simplekt,gkt,3,0.8370950010986645,-0.03752857414730948,0.004261199090314213,-0.034211;-0.036040;-0.042334,True
gkt_epochs30_s1234,1234,simplekt,gkt,3,0.8364878774545675,-0.04073960787410513,0.0032655527136877145,-0.042178;-0.043039;-0.037002,True
