stat_id,dataset,model,filter,script_mirror,n,statistic,value,pvalue,boot_ci_low,boot_ci_high,boot_n,boot_seed,reported_target,reported_label,match_status,display_2dp,companion_pearson_same_pool,companion_pearson_pvalue
a_xes_gkt_pearson_core,xes3g5m,gkt,operator!=none; auc_drop notna; p.round(4)<=0.3; CSV auc_drop (gkt_tex),generate_ddr_downstream_gkt_tex.py::_corr(p_max=0.3),81,pearson_r,0.931036665600448,2.489498949599189e-36,0.8905595270708476,0.9561265254912427,10000,20260717,0.93,abstract/GKT-caption Pearson r≈0.93 core,PASS_ROUNDING,0.93,,
b_xes_gkt_pearson_all_p,xes3g5m,gkt,operator!=none; auc_drop notna; all p incl anchors; CSV auc_drop (gkt_tex),generate_ddr_downstream_gkt_tex.py::_corr(p_max=None),99,pearson_r,0.9851325655485438,5.129156029818145e-76,0.9780507423171441,0.9898382700491981,10000,20260717,0.99,abstract/GKT-caption Pearson r≈0.99 with anchors; ddr_downstream.tex r=0.99,PASS_ROUNDING,0.99,,
c_xes_gkt_spearman_full,xes3g5m,gkt,operator!=none; finite ddr & recomputed auc_drop; all p (plot_ddr per ds/model),plot_ddr_downstream.py L108-115 spearmanr,99,spearman_rho,0.9277303648732219,2.651002572803928e-43,0.8677286161030412,0.9623123946494252,10000,20260717,0.93,ddr_downstream.tex caption rho=0.93 for xes3g5m/gkt,PASS_ROUNDING,0.93,0.9851325655485438,5.129156029818145e-76
d_global_pearson_all_pert,ALL,ALL,operator!=none; finite ddr & recomputed auc_drop; all datasets/models (figure pool),plot_ddr_downstream.py L121-129 pearsonr,186,pearson_r,0.7466243641008051,2.102451700978558e-34,0.6174672088371048,0.8466753005718076,10000,20260717,0.75,fig_ddr_downstream.pdf pooled Pearson r=0.75,PASS_ROUNDING,0.75,,
