dataset,augmentation,p,seed,ddr,fold
junyi,prereq_preserve,0.05,17,0.047417840375586856,1.0
junyi,prereq_preserve,0.05,42,0.04507042253521127,1.0
junyi,prereq_preserve,0.05,1234,0.04788732394366197,1.0
junyi,prereq_preserve,0.1,17,0.0863849765258216,1.0
junyi,prereq_preserve,0.1,42,0.08591549295774648,1.0
junyi,prereq_preserve,0.1,1234,0.08779342723004695,1.0
junyi,prereq_preserve,0.2,17,0.18403755868544602,1.0
junyi,prereq_preserve,0.2,42,0.18873239436619718,1.0
junyi,prereq_preserve,0.2,1234,0.1807511737089202,1.0
junyi,prereq_preserve,0.3,17,0.28262910798122065,1.0
junyi,prereq_preserve,0.3,42,0.27699530516431925,1.0
junyi,prereq_preserve,0.3,1234,0.27230046948356806,1.0
junyi,subgraph,0.05,17,0.01267605633802817,1.0
junyi,subgraph,0.05,42,0.01267605633802817,1.0
junyi,subgraph,0.05,1234,0.01267605633802817,1.0
junyi,subgraph,0.1,17,0.05868544600938967,1.0
junyi,subgraph,0.1,42,0.07183098591549296,1.0
junyi,subgraph,0.1,1234,0.05258215962441314,1.0
junyi,subgraph,0.2,17,0.1568075117370892,1.0
junyi,subgraph,0.2,42,0.15211267605633802,1.0
junyi,subgraph,0.2,1234,0.17230046948356809,1.0
junyi,subgraph,0.3,17,0.24507042253521127,1.0
junyi,subgraph,0.3,42,0.2596244131455399,1.0
junyi,subgraph,0.3,1234,0.2971830985915493,1.0
junyi,attr_mask,0.05,17,0.0,2.0
junyi,attr_mask,0.05,42,0.0,2.0
junyi,attr_mask,0.05,1234,0.0,2.0
junyi,attr_mask,0.1,17,0.0,2.0
junyi,attr_mask,0.1,42,0.0,2.0
junyi,attr_mask,0.1,1234,0.0,2.0
junyi,attr_mask,0.2,17,0.0,2.0
junyi,attr_mask,0.2,42,0.0,2.0
junyi,attr_mask,0.2,1234,0.0,2.0
junyi,attr_mask,0.3,17,0.0,2.0
junyi,attr_mask,0.3,42,0.0,2.0
junyi,attr_mask,0.3,1234,0.0,2.0
junyi,edge_drop,0.05,17,0.05009276437847866,2.0
junyi,edge_drop,0.05,42,0.048701298701298704,2.0
junyi,edge_drop,0.05,1234,0.05194805194805195,2.0
junyi,edge_drop,0.1,17,0.09183673469387756,2.0
junyi,edge_drop,0.1,42,0.0950834879406308,2.0
