config,epochs,gkt_auc_mean,delta
primary_release,10,0.833644346950711,-0.04107563622467877
epoch_matched_seed42,30,0.8370950010986645,-0.03762498207672519
epoch_matched_pooled_9fold,30,0.8390362352531487,-0.03751107563743716
