split_base_seed,model,mean_auc,source_tag,delta_vs_simplekt,ci_lower,ci_upper,valid
17,simplekt,0.8777908720971109,trio_matched_s17,,,,
17,gikt,0.8797615063537346,trio_matched_s17,0.0019706342566236192,0.0015591300150951868,0.0023821384981520515,
17,gkt,0.8435258272062142,gkt_epochs30_s17,-0.03426504489089688,-0.03490850893782329,-0.03362158084397047,True
42,simplekt,0.8746235752459741,trio_matched_s42,,,,
42,gikt,0.879331828148645,trio_matched_s42,0.0047082529026709246,0.00347083010187983,0.005945675703462019,
42,gkt,0.8370950010986645,gkt_epochs30_s42,-0.03752857414730948,-0.04811397950470404,-0.02694316878991492,True
1234,simplekt,0.8772274853286727,trio_matched_s1234,,,,
1234,gikt,0.8788432042118933,trio_matched_s1234,0.0016157188832206144,-0.00056531263362398,0.003796750400065209,
1234,gkt,0.8364878774545675,gkt_epochs30_s1234,-0.04073960787410513,-0.048851690519784885,-0.03262752522842538,True
